l (deg),b (deg),distance (pc)
152.1969037141174,-54.2951068354074,504.00656660858573
130.7397755404599,-45.94950406181837,2143.4330548917496
136.4005349013013,-52.77375295328594,1206.1996835839363
127.95594584354018,-49.507986733615546,6166.344443328317
,,
128.61301836677495,-37.85633770864842,2843.8246124443926
144.0786645194421,-48.099589335359525,612.1084382056312
,,
137.14090637741978,-45.63185920790097,923.4027141106852
133.8836499833602,-40.87701149813601,1152.6282562504807
,,
150.31966298981672,-49.3307272483891,475.2693681413134
134.20482989263692,-56.23416784286504,1757.2715934107327
135.5340014509591,-41.85070567077636,983.8950301036285
,,
136.20794219225456,-46.286397322668904,1021.8904139572107
131.80284183256268,-51.77241524208591,2141.3925123370727
130.5758675936169,-47.554968343740065,2342.679878196524
135.0959950843716,-43.4561916571611,1067.022351656582
139.75086339433904,-47.10113638492728,779.305260984045
,,
,,
,,
133.4632886166702,-46.839529561294796,1410.4052367802958
,,
137.2119780878458,-41.47447885760228,836.7637340544883
148.1470009998163,-53.01670672982026,570.7671895313617
,,
149.5503854026279,-52.293295380304876,527.7341647820406
134.3260126051294,-56.97316288151908,1782.944524703846
,,
131.7334244598385,-54.7472796142082,2452.3198132879247
185.63773882898812,-57.45990244137116,282.146151242633
130.70242040601673,-46.71933753709368,2215.7662177519155
153.29611549855937,-55.161202006369486,497.12048776829334
,,
,,
135.18132921741682,-40.084932799451515,982.1409961801103
127.68037817514777,-36.69481484467411,3841.0022512752953
127.43815463352188,-51.12900108347677,9990.853108968875
132.4648736032447,-40.22074852776287,1366.7328956104025
,,
,,
138.781140132337,-42.81250418501669,759.4201097664488
147.1130910040964,-55.040509181740575,633.7715916025844
130.03754508171312,-38.4683169676007,2003.15983760111
130.38360454505872,-49.57407445309667,2638.194766505788
236.24321012994793,-48.27478474578196,212.8112889984646
136.6025263631346,-56.64921430616697,1353.7276738331182
156.95877819998537,-60.675128558259054,528.313626442502
146.7572395936852,-51.1555041350761,578.0238630566085
